"","id_ccbh","bpo_ecoli","cco_ecoli","mfo_ecoli","bp_ecoli","cc_ecoli","mf_ecoli","bpo_pao1","cco_pao1","mfo_pao1","bp_pao1","cc_pao1","mf_pao1"
"3784","PA4851_27195",0.349,0.58,0.515,2,3,3,0.513,0.338,0.506,3,2,3
"3785","PA4851_27215",0.454,0.463,0.204,2,2,1,0.31,0.666,0.203,2,3,1
"3786","PA4851_27220",0.184,0.181,0.317,1,1,2,0.818,NA,0.587,4,NA,3
"3787","PA4851_27225",0.129,0.314,0.101,1,2,1,0.158,0.394,0.117,1,2,1
"3788","PA4851_27230",1,1,0.519,4,4,3,1,1,0.669,4,4,3
"3789","PA4851_27235",0.809,0.649,NA,4,3,NA,1,1,NA,4,4,NA
"3790","PA4851_27240",0.862,1,0.735,4,4,3,1,1,0.851,4,4,4
"3791","PA4851_27245",0.396,NA,0.763,2,NA,4,1,NA,0.861,4,NA,4
"3792","PA4851_27275",1,0.662,NA,4,3,NA,0.132,1,0.124,1,4,1
"3793","PA4851_27280",0.601,0.696,0.547,3,3,3,0.732,0.883,0.815,3,4,4
"3794","PA4851_27285",0.232,0.439,0.376,1,2,2,0.408,0.724,0.629,2,3,3
"3795","PA4851_27290",0.312,0.511,0.147,2,3,1,0.266,0.628,0.032,2,3,1
"3796","PA4851_27295",0.083,0.169,0.05,1,1,1,0.11,0.283,0.069,1,2,1
"3797","PA4851_27300",0.518,0.484,0.622,3,2,3,0.682,0.701,0.683,3,3,3
"3798","PA4851_27305",0.162,0.644,0.264,1,3,2,0.205,0.629,0.212,1,3,1
"3799","PA4851_27310",0.295,0.483,NA,2,2,NA,0.666,0.636,NA,3,3,NA
"3800","PA4851_27325",0.158,0.506,0.164,1,3,1,0.163,0.496,0.15,1,2,1
"3801","PA4851_27330",1,0.711,0.028,4,3,1,1,1,NA,4,4,NA
"3802","PA4851_27335",0.212,0.267,0.09,1,2,1,0.25,0.334,0.12,1,2,1
"3803","PA4851_27340",1,0.883,0.032,4,4,1,0.803,1,0.032,4,4,1
"3804","PA4851_27345",0.604,0.613,0.815,3,3,4,0.508,0.358,0.679,3,2,3
"3805","PA4851_27350",0.193,0.561,0.088,1,3,1,0.103,0.28,0.075,1,2,1
"3806","PA4851_27355",0.302,0.557,0.392,2,3,2,0.17,0.666,0.085,1,3,1
"3807","PA4851_27365",0.667,0.883,0.84,3,4,4,0.07,0.29,0.136,1,2,1
"3808","PA4851_27370",0.773,0.93,0.85,4,4,4,0.903,0.612,0.81,4,3,4
